CIR,2007_EX,2007_ES,2008_EX,2008_ES,2009_EX,2009_ES,2010_EX,2010_ES,2012_EX,2012_ES,2013_EX,2013_ES,2014_EX,2014_ES,2015_EX,2015_ES
31050,0.020233196159122085,0.01457451810061119,0.019641626464507237,0.014391829155060354,0.01930240433457501,0.013011152416356878,0.019002375296912115,0.012993039443155453,0.019174041297935103,0.01515847496554892,0.01957094467444486,0.014025245441795231,0.018738049713193115,0.013799448022079117,0.019024970273483946,0.014213663457129757
31051,0.024348422496570644,0.018805829807240243,0.022398345968297727,0.018570102135561744,0.02031832035218422,0.017657992565055763,0.021377672209026127,0.017633410672853827,0.024705014749262538,0.017914561322921452,0.02559277380504328,0.017765310892940627,0.02676864244741874,0.01839926402943882,0.02536662703131193,0.020174232003668042
31052,0.01748971193415638,0.008932769158439116,0.01791867677463818,0.009285051067780872,0.014900101591601761,0.008364312267657992,0.014591109602986088,0.008816705336426913,0.015486725663716814,0.009186954524575103,0.015054572826496047,0.009350163627863487,0.015678776290630976,0.00827966881324747,0.015854141894569955,0.00871160018340211
31054,0.0051440329218107,0.007992477668077104,0.013094417643004824,0.007428040854224698,0.0186251269895022,0.006970260223048327,0.01832371903630811,0.0060324825986078886,0.01733038348082596,0.006430868167202572,0.020323673315769664,0.006077606358111267,0.021032504780114723,0.006439742410303588,0.020214030915576695,0.005960568546538285
31055,0.015089163237311385,0.009402914903620122,0.015161957270847692,0.01021355617455896,0.015238740264138165,0.009758364312267658,0.01493043773328809,0.010672853828306265,0.016592920353982302,0.011024345429490124,0.01618366578848325,0.009817671809256662,0.015678776290630976,0.009659613615455382,0.016646848989298454,0.011004126547455296
31056,0.018175582990397805,0.012223789374706159,0.019641626464507237,0.009749303621169917,0.019641043007111413,0.00929368029739777,0.020699015948422123,0.008816705336426913,0.018067846607669618,0.009186954524575103,0.01957094467444486,0.007947639083683964,0.01988527724665392,0.0078196872125115,0.01823226317875545,0.007794589637780834
31057,0.047325102880658436,0.02914903620122238,0.041006202618883526,0.027855153203342618,0.039282086014222825,0.026022304832713755,0.03902273498473023,0.028306264501160094,0.039454277286135694,0.030776297657326597,0.03424915318027851,0.030855539971949508,0.03479923518164436,0.030818767249310028,0.033690051525961155,0.0307198532783127
31059,0.013717421124828532,0.009873060648801129,0.015506547208821502,0.010677808727948004,0.01591601760921097,0.010687732342007435,0.013912453342382083,0.011136890951276101,0.014749262536873156,0.010105649977032614,0.01279638690252164,0.009350163627863487,0.012237093690248566,0.009659613615455382,0.012683313515655966,0.009628610729023384
31061,0.01646090534979424,0.007992477668077104,0.015851137146795313,0.007892293407613741,0.01591601760921097,0.007434944237918215,0.015948422124194096,0.007424593967517401,0.02064896755162242,0.0078089113458888375,0.022958223560406475,0.0070126227208976155,0.020650095602294454,0.006439742410303588,0.020610384462940945,0.0068775790921595595
31063,0.01783264746227709,0.010813352139163141,0.01757408683666437,0.010677808727948004,0.01760921097189299,0.00929368029739777,0.01832371903630811,0.010672853828306265,0.019542772861356934,0.00964630225080386,0.019947308995107264,0.009817671809256662,0.01988527724665392,0.00919963201471941,0.020610384462940945,0.009628610729023384
31065,0.03223593964334705,0.013164080865068171,0.02929014472777395,0.012999071494893221,0.029122925838130715,0.01254646840148699,0.030878859857482184,0.012064965197215777,0.03355457227138643,0.011483693155718878,0.03312006021829131,0.01168770453482936,0.03212237093690248,0.010579576816927323,0.03329369797859691,0.01192113709307657
31067,0.016117969821673524,0.025858015984955338,0.018607856650585803,0.0255338904363974,0.01930240433457501,0.024163568773234202,0.017645062775704105,0.02459396751740139,0.018805309734513276,0.02480477721635278,0.01618366578848325,0.025712949976624593,0.01606118546845124,0.025298988040478382,0.016646848989298454,0.026134800550206328
31068,0.02091906721536351,0.02538787023977433,0.02067539627842867,0.025069637883008356,0.02031832035218422,0.022304832713754646,0.017645062775704105,0.02088167053364269,0.01733038348082596,0.01975195222783647,0.018441851712457658,0.01916783543712015,0.017590822179732315,0.019319227230910764,0.0186286167261197,0.01879871618523613
31069,0.0102880658436214,0.004701457451810061,0.011371467953135768,0.004178272980501393,0.011513714866237725,0.004182156133828996,0.010519172039362062,0.004176334106728539,0.010693215339233038,0.005052824988516307,0.011290929619872036,0.004207573632538569,0.011472275334608031,0.004139834406623735,0.011494252873563218,0.004585052728106373
31071,0.033607681755829906,0.015044663845792195,0.03514817367332874,0.015784586815227482,0.03420250592617677,0.01486988847583643,0.032575500508992196,0.014385150812064965,0.035398230088495575,0.01607717041800643,0.03575461046292811,0.015427769985974754,0.03479923518164436,0.014719411223551058,0.034482758620689655,0.015589179275561669
