CIR,2007,2008,2009,2010,2012,2013,2014,2015
29010,0.15,0.22,0.3,0.3,0.34,0.4,0.42,0.37
29011,0.26,0.32,0.39,0.4,0.33,0.33,0.34,0.36
29012,0.28,0.31,0.31,0.3,0.31,0.32,0.38,0.33
29013,0.23,0.25,0.3,0.28,0.31,0.34,0.36,0.3
29014,0.28,0.29,0.32,0.39,0.38,0.46,0.51,0.43
29015,0.24,0.3,0.33,0.35,0.42,0.41,0.45,0.42
29016,0.18,0.21,0.22,0.28,0.2,0.21,0.25,0.22
29017,0.1,0.09,0.13,0.16,0.2,0.21,0.23,0.24
29018,0.09,0.11,0.15,0.18,0.22,0.28,0.3,0.24
29019,0.21,0.23,0.23,0.25,0.28,0.3,0.4,0.38
29020,0.25,0.27,0.27,0.25,0.22,0.24,0.27,0.26
29021,0.31,0.32,0.44,0.4,0.37,0.41,0.47,0.49
29022,0.33,0.36,0.36,0.35,0.39,0.42,0.47,0.43
29023,0.13,0.16,0.2,0.2,0.24,0.24,0.26,0.26
29024,0.31,0.35,0.31,0.36,0.38,0.38,0.4,0.33
29025,0.45,0.48,0.45,0.45,0.41,0.41,0.46,0.44
29026,0.24,0.27,0.29,0.32,0.31,0.29,0.32,0.32
29027,0.17,0.17,0.18,0.2,0.2,0.21,0.24,0.18
29028,0.24,0.25,0.27,0.3,0.26,0.25,0.26,0.28
31003,0.26,0.35,0.43,0.46,0.47,0.45,0.45,0.43
31005,0.18,0.2,0.29,0.32,0.43,0.42,0.39,0.44
31006,0.24,0.28,0.31,0.35,0.3,0.3,0.3,0.28
31007,0.23,0.25,0.26,0.26,0.27,0.2,0.23,0.26
31008,0.17,0.13,0.12,0.12,0.11,0.11,0.12,0.13
31009,0.1,0.1,0.09,0.08,0.09,0.07,0.07,0.08
31010,0.32,0.33,0.32,0.35,0.37,0.42,0.46,0.47
31011,0.13,0.14,0.17,0.15,0.2,0.2,0.22,0.23
31013,0.27,0.27,0.31,0.31,0.42,0.43,0.38,0.28
31014,0.35,0.31,0.35,0.29,0.27,0.24,0.22,0.17
31015,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.0
31017,0.19,0.19,0.19,0.12,0.0,0.0,0.0,0.0
31019,0.39,0.3,0.29,0.31,0.31,0.32,0.34,0.37
31020,0.31,0.23,0.22,0.21,0.21,0.18,0.18,0.18
31021,0.36,0.42,0.48,0.46,0.47,0.44,0.43,0.45
31024,0.15,0.16,0.2,0.21,0.23,0.2,0.15,0.16
31027,0.03,0.03,0.03,0.04,0.06,0.06,0.07,0.12
31028,0.14,0.15,0.18,0.19,0.2,0.18,0.19,0.17
31029,0.33,0.28,0.31,0.31,0.31,0.26,0.27,0.29
31031,0.17,0.19,0.18,0.17,0.15,0.15,0.18,0.17
31033,0.16,0.15,0.15,0.11,0.15,0.13,0.13,0.14
31035,0.27,0.24,0.3,0.31,0.39,0.37,0.34,0.35
31037,0.12,0.12,0.17,0.2,0.24,0.24,0.26,0.25
31038,0.32,0.39,0.37,0.36,0.37,0.34,0.34,0.37
31039,0.42,0.47,0.37,0.34,0.31,0.33,0.31,0.31
31041,0.25,0.27,0.3,0.28,0.31,0.32,0.34,0.35
31044,0.14,0.16,0.14,0.17,0.18,0.18,0.17,0.24
31045,0.22,0.23,0.25,0.3,0.31,0.31,0.31,0.28
31047,0.1,0.12,0.15,0.17,0.17,0.15,0.15,0.15
31049,0.16,0.18,0.11,0.11,0.12,0.11,0.12,0.13
31050,0.25,0.25,0.28,0.27,0.23,0.23,0.23,0.24
31051,0.23,0.22,0.21,0.22,0.25,0.24,0.26,0.22
31052,0.34,0.34,0.32,0.3,0.29,0.25,0.31,0.31
31054,0.13,0.31,0.46,0.5,0.43,0.46,0.49,0.51
31055,0.28,0.27,0.29,0.26,0.27,0.26,0.27,0.26
31056,0.27,0.36,0.39,0.42,0.34,0.37,0.4,0.38
31057,0.3,0.28,0.3,0.27,0.23,0.18,0.2,0.19
